
234,0,3000,,
234,1,128,,
90,1,0,,
234,2,1,,
234,3,0,,
234,1,64,,
90,1,0,,
234,3,0,,
234,1,32,,
90,1,0,,
234,3,0,,
234,1,16,,
90,1,0,,
234,3,0,,
234,1,8,,
90,1,0,,

234,0,3100,,
234,1,1,,
90,1,0,,
234,3,0,,
234,1,2,,
90,1,0,,
234,3,0,,
234,1,3,,
90,1,0,,
234,3,0,,
234,1,4,,
90,1,0,,
234,3,0,,
234,1,5,,
90,1,0,,

234,0,3000,,
234,1,3100,,
234,2,3200,,
234,3,5,,

102,0,4,0,
102,0,5,1,
224,4,5,0,2,

234,6,1,,
234,7,0,,
234,7,0,,
234,7,0,,
102,0,4,0,
102,0,5,1,
224,4,5,0,2,

234,7,0,,
234,7,0,,
234,7,0,,
102,0,4,0,
102,0,5,1,
224,4,5,0,2,

234,7,0,,
234,7,0,,
234,7,0,,
102,0,4,0,
102,0,5,1,
224,4,5,0,2,

234,7,0,,
234,7,0,,
234,7,0,,
102,0,4,0,
102,0,5,1,
224,4,5,0,2,
